,epoch,train_loss,train_acc,val_acc,test_acc
0,1,1.949,0.1786,0.114,0.112
1,2,1.9324,0.2857,0.136,0.135
2,3,1.8998,0.4857,0.35,0.32
3,4,1.8409,0.5357,0.462,0.458
4,5,1.7682,0.5643,0.514,0.515
5,6,1.6548,0.55,0.524,0.526
6,7,1.5561,0.5571,0.518,0.531
7,8,1.4872,0.5643,0.522,0.537
8,9,1.3994,0.6,0.542,0.553
9,10,1.2918,0.6643,0.572,0.579
10,11,1.1752,0.7714,0.628,0.618
11,12,1.0875,0.8214,0.652,0.653
12,13,1.0064,0.8786,0.696,0.705
13,14,0.935,0.9357,0.718,0.723
14,15,0.8784,0.9643,0.748,0.743
15,16,0.794,0.9643,0.768,0.76
16,17,0.7115,0.9714,0.784,0.772
17,18,0.6202,0.9786,0.792,0.787
18,19,0.5637,0.9786,0.792,0.794
19,20,0.5229,0.9786,0.796,0.792
20,21,0.4496,0.9786,0.796,0.791
21,22,0.4068,0.9786,0.792,0.79
22,23,0.3795,0.9786,0.784,0.786
23,24,0.3389,0.9857,0.78,0.78
24,25,0.3023,0.9857,0.78,0.782
25,26,0.2586,0.9857,0.778,0.786
26,27,0.2649,0.9929,0.776,0.785
27,28,0.2599,0.9929,0.778,0.791
28,29,0.1725,0.9929,0.786,0.79
29,30,0.226,0.9929,0.784,0.792
30,31,0.1688,0.9929,0.79,0.794
31,32,0.1882,0.9929,0.786,0.795
32,33,0.1399,0.9929,0.782,0.792
33,34,0.1207,0.9929,0.784,0.794
34,35,0.0954,1.0,0.776,0.788
35,36,0.1331,1.0,0.774,0.789
36,37,0.1088,1.0,0.774,0.785
37,38,0.1125,1.0,0.77,0.788
38,39,0.1275,1.0,0.77,0.786
39,40,0.1213,1.0,0.768,0.787
40,41,0.0897,1.0,0.768,0.788
41,42,0.1014,1.0,0.766,0.789
42,43,0.0738,1.0,0.772,0.79
43,44,0.0962,1.0,0.768,0.791
44,45,0.115,1.0,0.77,0.79
45,46,0.0897,1.0,0.772,0.792
46,47,0.073,1.0,0.776,0.794
47,48,0.0671,1.0,0.78,0.797
48,49,0.0775,1.0,0.778,0.796
49,50,0.0773,1.0,0.782,0.796
50,51,0.0575,1.0,0.776,0.797
51,52,0.0792,1.0,0.776,0.797
52,53,0.0712,1.0,0.774,0.797
53,54,0.0621,1.0,0.772,0.799
54,55,0.0762,1.0,0.772,0.797
55,56,0.051,1.0,0.776,0.797
56,57,0.0396,1.0,0.774,0.797
57,58,0.0524,1.0,0.774,0.797
58,59,0.056,1.0,0.774,0.799
59,60,0.0536,1.0,0.772,0.798
60,61,0.0534,1.0,0.772,0.798
61,62,0.077,1.0,0.768,0.8
62,63,0.0614,1.0,0.768,0.799
63,64,0.0635,1.0,0.768,0.8
64,65,0.0601,1.0,0.768,0.801
65,66,0.0483,1.0,0.77,0.798
66,67,0.0613,1.0,0.772,0.799
67,68,0.0514,1.0,0.774,0.795
68,69,0.071,1.0,0.776,0.797
69,70,0.0425,1.0,0.776,0.796
70,71,0.0646,1.0,0.776,0.8
71,72,0.0661,1.0,0.774,0.802
72,73,0.0486,1.0,0.774,0.803
73,74,0.0529,1.0,0.774,0.802
74,75,0.0528,1.0,0.776,0.803
75,76,0.0696,1.0,0.776,0.804
76,77,0.0657,1.0,0.776,0.802
77,78,0.0587,1.0,0.774,0.801
78,79,0.0528,1.0,0.77,0.798
79,80,0.0451,1.0,0.768,0.797
80,81,0.0578,1.0,0.768,0.797
81,82,0.0559,1.0,0.772,0.796
82,83,0.0665,1.0,0.77,0.797
83,84,0.0531,1.0,0.77,0.795
84,85,0.0493,1.0,0.77,0.795
85,86,0.0612,1.0,0.77,0.794
86,87,0.043,1.0,0.77,0.792
87,88,0.0401,1.0,0.77,0.792
88,89,0.0531,1.0,0.768,0.793
89,90,0.0457,1.0,0.768,0.795
90,91,0.0633,1.0,0.77,0.797
91,92,0.0465,1.0,0.77,0.798
92,93,0.0404,1.0,0.77,0.799
93,94,0.0456,1.0,0.77,0.799
94,95,0.05,1.0,0.768,0.799
95,96,0.0447,1.0,0.766,0.799
96,97,0.0593,1.0,0.768,0.798
97,98,0.0455,1.0,0.768,0.796
98,99,0.0348,1.0,0.764,0.796
99,100,0.0474,1.0,0.768,0.798
100,101,0.0342,1.0,0.77,0.797
101,102,0.0637,1.0,0.77,0.8
102,103,0.0415,1.0,0.768,0.802
103,104,0.0567,1.0,0.766,0.802
104,105,0.0556,1.0,0.766,0.804
105,106,0.045,1.0,0.768,0.801
106,107,0.0575,1.0,0.77,0.8
107,108,0.0294,1.0,0.772,0.8
108,109,0.0497,1.0,0.77,0.8
109,110,0.0423,1.0,0.768,0.801
110,111,0.0416,1.0,0.768,0.801
111,112,0.0479,1.0,0.768,0.801
112,113,0.0462,1.0,0.776,0.803
113,114,0.0446,1.0,0.776,0.804
114,115,0.0442,1.0,0.778,0.803
115,116,0.0653,1.0,0.778,0.802
116,117,0.0445,1.0,0.776,0.8
117,118,0.0718,1.0,0.778,0.802
118,119,0.0407,1.0,0.776,0.804
119,120,0.0577,1.0,0.778,0.804
120,121,0.0603,1.0,0.776,0.802
121,122,0.0516,1.0,0.774,0.803
122,123,0.0355,1.0,0.774,0.8
123,124,0.0261,1.0,0.772,0.799
124,125,0.0658,1.0,0.766,0.799
125,126,0.0511,1.0,0.762,0.796
126,127,0.0416,1.0,0.758,0.795
127,128,0.055,1.0,0.758,0.795
128,129,0.0581,1.0,0.764,0.794
129,130,0.0513,1.0,0.764,0.798
130,131,0.0625,1.0,0.764,0.799
131,132,0.051,1.0,0.764,0.798
132,133,0.0365,1.0,0.764,0.801
133,134,0.0398,1.0,0.764,0.799
134,135,0.0499,1.0,0.764,0.798
135,136,0.0428,1.0,0.762,0.797
136,137,0.0562,1.0,0.758,0.797
137,138,0.0457,1.0,0.76,0.794
138,139,0.0367,1.0,0.76,0.793
139,140,0.0328,1.0,0.764,0.792
140,141,0.0371,1.0,0.766,0.792
141,142,0.0398,1.0,0.766,0.793
142,143,0.0438,1.0,0.766,0.792
143,144,0.042,1.0,0.768,0.793
144,145,0.0502,1.0,0.764,0.795
145,146,0.0495,1.0,0.768,0.796
146,147,0.0481,1.0,0.77,0.796
147,148,0.0328,1.0,0.77,0.797
148,149,0.0349,1.0,0.772,0.8
149,150,0.0457,1.0,0.772,0.804
150,151,0.0393,1.0,0.772,0.803
151,152,0.0392,1.0,0.774,0.802
152,153,0.0521,1.0,0.772,0.799
153,154,0.0433,1.0,0.77,0.802
154,155,0.0371,1.0,0.766,0.805
155,156,0.0454,1.0,0.764,0.803
156,157,0.0503,1.0,0.762,0.803
157,158,0.0493,1.0,0.762,0.804
158,159,0.0369,1.0,0.762,0.803
159,160,0.0479,1.0,0.762,0.804
160,161,0.0371,1.0,0.762,0.803
161,162,0.0412,1.0,0.764,0.805
162,163,0.0396,1.0,0.76,0.806
163,164,0.0425,1.0,0.764,0.804
164,165,0.0298,1.0,0.766,0.802
165,166,0.0506,1.0,0.766,0.803
166,167,0.0325,1.0,0.764,0.803
167,168,0.0304,1.0,0.764,0.805
168,169,0.0328,1.0,0.766,0.804
169,170,0.0328,1.0,0.766,0.805
170,171,0.0328,1.0,0.764,0.806
171,172,0.0467,1.0,0.77,0.808
172,173,0.0353,1.0,0.774,0.808
173,174,0.0326,1.0,0.774,0.804
174,175,0.0469,1.0,0.772,0.802
175,176,0.0486,1.0,0.77,0.801
176,177,0.0312,1.0,0.768,0.802
177,178,0.0262,1.0,0.768,0.8
178,179,0.0472,1.0,0.768,0.8
179,180,0.0456,1.0,0.768,0.8
180,181,0.0378,1.0,0.772,0.801
181,182,0.0284,1.0,0.774,0.801
182,183,0.0312,1.0,0.772,0.801
183,184,0.0479,1.0,0.774,0.805
184,185,0.0288,1.0,0.774,0.807
185,186,0.0364,1.0,0.778,0.81
186,187,0.0294,1.0,0.782,0.811
187,188,0.0613,1.0,0.784,0.81
188,189,0.026,1.0,0.784,0.811
189,190,0.0308,1.0,0.782,0.811
190,191,0.0403,1.0,0.78,0.808
191,192,0.0281,1.0,0.776,0.808
192,193,0.0362,1.0,0.778,0.808
193,194,0.036,1.0,0.78,0.81
194,195,0.0462,1.0,0.772,0.811
195,196,0.0321,1.0,0.768,0.812
196,197,0.0374,1.0,0.766,0.806
197,198,0.0376,1.0,0.766,0.807
198,199,0.0377,1.0,0.762,0.807
199,200,0.038,1.0,0.762,0.806
